agency,agencyAbbrev,subagency,subagencyAbbrev,NameCombo,url,type,datasets
Administrative Office of the United States Courts,AO,,,Administrative Office of the United States Courts (AO),http://www.uscourts.gov/,Federal,
Alabama,AL,,,Alabama (AL),http://open.alabama.gov/,State,
Alaska,AK,,,Alaska (AK),http://catalog.data.gov/organization/state-of-alaska,State,371
Albuquerque,ABQ,,,Albuquerque (ABQ),http://www.cabq.gov/abq-data/,City/County,
Ann Arbor,AA,,,Ann Arbor (AA),http://www.a2gov.org/data/,City/County,
Arctic Landscape Conservation Cooperative,ALCC,,,Arctic Landscape Conservation Cooperative (ALCC),http://catalog.data.gov/organization/alcc-fws-gov,Federal,54
Arizona,AZ,,,Arizona (AZ),http://openbooks.az.gov/app/transparency/index.html,State,
Arizona,AZ,Arizona Geological Survey,AZGS,Arizona (AZ) - Arizona Geological Survey (AZGS),http://catalog.data.gov/organization/azgs-az-gov,State,951
Arkansas,AR,,,Arkansas (AR),http://catalog.data.gov/organization/arkansas-gov,State,360
Arvada,,,,Arvada,http://arvada.org/opendata/,City/County,
Asheville,,,,Asheville,http://opendatacatalog.ashevillenc.gov/,City/County,
Atlanta,ATL,,,Atlanta (ATL),http://gis.atlantaga.gov/,City/County,
Austin,AUS,,,Austin (AUS),http://data.austintexas.gov/,City/County,
Baltimore,BAL,,,Baltimore (BAL),http://data.baltimorecity.gov/,City/County,
Belleville,BVW,,,Belleville (BVW),https://data.illinois.gov/belleville,City/County,
Boston,BOS,,,Boston (BOS),https://data.cityofboston.gov/,City/County,
Boston,BOS,Boston Enterprise GIS,,Boston (BOS) - Boston Enterprise GIS,http://www.cityofboston.gov/maps/,City/County,
Broadcasting Board of Governors,BBG,,,Broadcasting Board of Governors (BBG),http://catalog.data.gov/organization/bbg-gov,Federal,6
California,CA,,,California (CA),http://data.ca.gov/,State,
California,CA,California Environmental Health Tracking Program,CEHTP,California (CA) - California Environmental Health Tracking Program (CEHTP),http://catalog.data.gov/organization/cdph-ca-gov,State,17
California,CA,Department of Resources,CDR,California (CA) - Department of Resources (CDR),http://catalog.data.gov/organization/resources-ca-gov,State,584
California,CA,Department of Education,DOE,California (CA) - Department of Education (DOE),http://www.cde.ca.gov/ds/,State,
Champaign,,,,Champaign,https://data.illinois.gov/champaign,City/County,
Chicago,CHI,,,Chicago (CHI),http://data.cityofchicago.org/,City/County,
City of Orem,,,,City of Orem,http://catalog.data.gov/organization/orem-org,City/County,1
Colorado,CO,,,Colorado (CO),http://www.colorado.gov/data/,State,
Colorado,CO,Denver Regional Council,DRCOG,Colorado (CO) - Denver Regional Council (DRCOG),http://data.opencolorado.org/group/drcog,State,
Columbia University,CU,Center for International Earth Science Information Network,CIESIN,Columbia University (CU) - Center for International Earth Science Information Network (CIESIN),http://catalog.data.gov/organization/ciesin-columbia-edu,University/Institution,285
Commodity Futures Trading Commission,CFTC,,,Commodity Futures Trading Commission (CFTC),http://catalog.data.gov/organization/cftc-gov,Federal,3
Connecticut,CT,,,Connecticut (CT),http://transparency.ct.gov/html/main.asp,State,
Consumer Financial Protection Bureau,CFPB,,,Consumer Financial Protection Bureau (CFPB),http://catalog.data.gov/organization/cfpb-gov,Federal,1
Cook County,CC,,,Cook County (CC),http://data.cookcountyil.gov/,City/County,
Cornell University,CU,,,Cornell University (CU),http://catalog.data.gov/organization/cornell-edu,University/Institution,1761
Corporation for National and Community Service,CNCS,,,Corporation for National and Community Service (CNCS),http://catalog.data.gov/organization/cns-gov,Federal,3
Court Services and Offender Supervision Agency,CSOSA,,,Court Services and Offender Supervision Agency (CSOSA),http://catalog.data.gov/organization/csosa-gov,Federal,1
Delaware,DE,,,Delaware (DE),http://www.delaware.gov/data/,State,
Denver,DV,,,Denver (DV),http://data.denvergov.org/,City/County,
Department of Agriculture,USDA,Agricultural Marketing Service,AMS,Department of Agriculture (USDA) - Agricultural Marketing Service (AMS),http://catalog.data.gov/organization/ams-usda-gov,Federal,60
Department of Agriculture,USDA,Agricultural Research Service,ARS,Department of Agriculture (USDA) - Agricultural Research Service (ARS),http://catalog.data.gov/organization/ars-usda-gov,Federal,43
Department of Agriculture,USDA,Animal and Plant Health Inspection Service,APHIS,Department of Agriculture (USDA) - Animal and Plant Health Inspection Service (APHIS),http://catalog.data.gov/organization/aphis-usda-gov,Federal,3
Department of Agriculture,USDA,,,Department of Agriculture (USDA),http://catalog.data.gov/dataset?q=organization:((usda-gov)+OR+(rma-usda-gov)+OR+(fs-fed-us)+OR+(nda-usda-gov)+OR+(fsa-usda-gov)+OR+(fsis-usda-gov)+OR+(ers-usda-gov)+OR+(nifa-usda-gov)+OR+(ams-usda-gov)+OR+(gipsa-usda-gov)+OR+(stl-usda-gov)+OR+(aphis-usda-gov)+OR+(fas-usda-gov)+OR+(ars-usda-gov)+OR+(ascr-usda-gov)+OR+(nrcs-usda-gov)+OR+(dm-usda-gov)+OR+(oce-usda-gov)+OR+(ocio-usda-gov)+OR+(nass-usda-gov)+OR+(fns-usda-gov)),Federal,298
Department of Agriculture,USDA,Departmental Management,DM,Department of Agriculture (USDA) - Departmental Management (DM),http://catalog.data.gov/organization/dm-usda-gov,Federal,1
Department of Agriculture,USDA,Economic Research Service,ERS,Department of Agriculture (USDA) - Economic Research Service (ERS),http://catalog.data.gov/organization/ers-usda-gov,Federal,45
Department of Agriculture,USDA,Farm Service Agency,FSA,Department of Agriculture (USDA) - Farm Service Agency (FSA),http://catalog.data.gov/organization/fsa-usda-gov,Federal,60
Department of Agriculture,USDA,Food and Nutrition Service,FNS,Department of Agriculture (USDA) - Food and Nutrition Service (FNS),http://catalog.data.gov/organization/fns-usda-gov,Federal,12
Department of Agriculture,USDA,Food Safety and Inspection Service,FSIS,Department of Agriculture (USDA) - Food Safety and Inspection Service (FSIS),http://catalog.data.gov/organization/fsis-usda-gov,Federal,2
Department of Agriculture,USDA,Foreign Agricultural Service,FAS,Department of Agriculture (USDA) - Foreign Agricultural Service (FAS),http://catalog.data.gov/organization/fas-usda-gov,Federal,8
Department of Agriculture,USDA,National Agricultural Statistics Service,NASS,Department of Agriculture (USDA) - National Agricultural Statistics Service (NASS),http://catalog.data.gov/organization/nass-usda-gov,Federal,7
Department of Agriculture,USDA,National Appeals Division,NAD,Department of Agriculture (USDA) - National Appeals Division (NAD),http://catalog.data.gov/organization/nda-usda-gov,Federal,1
Department of Agriculture,USDA,National Institute of Food and Agriculture,NIFA,Department of Agriculture (USDA) - National Institute of Food and Agriculture (NIFA),http://catalog.data.gov/organization/nifa-usda-gov,Federal,1
Department of Agriculture,USDA,Natural Resources Conservation Service,NRCS,Department of Agriculture (USDA) - Natural Resources Conservation Service (NRCS),http://catalog.data.gov/organization/nrcs-usda-gov,Federal,4
Department of Agriculture,USDA,Office of the Chief Economist,OCE,Department of Agriculture (USDA) - Office of the Chief Economist (OCE),http://catalog.data.gov/organization/oce-usda-gov,Federal,1
Department of Agriculture,USDA,Rural Development,RD,Department of Agriculture (USDA) - Rural Development (RD),http://catalog.data.gov/organization/stl-usda-gov,Federal,1
Department of Agriculture,USDA,US Forest Service,FS,Department of Agriculture (USDA) - US Forest Service (FS),http://catalog.data.gov/organization/fs-fed-us,Federal,49
Department of Commerce,USDC,,,Department of Commerce (USDC),http://catalog.data.gov/organization/doc-gov,Federal,3
Department of Commerce,USDC,Bureau of Economic Analysis,BEA,Department of Commerce (USDC) - Bureau of Economic Analysis (BEA),http://catalog.data.gov/organization/bea-gov,Federal,2
Department of Commerce,USDC,Bureau of Industry and Security,BIS,Department of Commerce (USDC) - Bureau of Industry and Security (BIS),http://catalog.data.gov/organization/bis-doc-gov,Federal,2
Department of Commerce,USDC,US Patent and Trademark Office,USPTO,Department of Commerce (USDC) - US Patent and Trademark Office (USPTO),http://catalog.data.gov/dataset?q=organization:uspto-gov,Federal,40
Department of Commerce,USDC,International Trade Administration,ITA,Department of Commerce (USDC) - International Trade Administration (ITA),http://catalog.data.gov/organization/trade-gov,Federal,31
Department of Commerce,USDC,National Institute of Standards and Technology,NIST,Department of Commerce (USDC) - National Institute of Standards and Technology (NIST),http://catalog.data.gov/organization/nist-gov,Federal,3
Department of Commerce,USDC,National Oceanic and Atmospheric Administration,NOAA,Department of Commerce (USDC) - National Oceanic and Atmospheric Administration (NOAA),http://catalog.data.gov/organization/noaa-gov,Federal,32291
Department of Commerce,USDC,National Technical Information Service,NTIS,Department of Commerce (USDC) - National Technical Information Service (NTIS),http://catalog.data.gov/organization/ntis-gov,Federal,1
Department of Commerce,USDC,National Telecommunication and Information Administration,NTIA,Department of Commerce (USDC) - National Telecommunication and Information Administration (NTIA),http://catalog.data.gov/organization/ntia-doc-gov,Federal,30
Department of Commerce,USDC,National Weather Service,NWS,Department of Commerce (USDC) - National Weather Service (NWS),http://catalog.data.gov/organization/nws-doc-gov,Federal,11
Department of Commerce,USDC,US Census Bureau,Census,Department of Commerce (USDC) - US Census Bureau (Census),http://catalog.data.gov/organization/census-gov,Federal,3799
Department of Defense,DOD,Army Corps of Engineers,ACE,Department of Defense (DOD) - Army Corps of Engineers (ACE),http://catalog.data.gov/organization/usace-army-mil,Federal,123
Department of Defense,DOD,Acquisition Technology and Logistics,AT&L,Department of Defense (DOD) - Acquisition Technology and Logistics (AT&L),http://catalog.data.gov/organization/atl-dod-gov,Federal,1
Department of Defense,DOD,,,Department of Defense (DOD),http://catalog.data.gov/organization/dod-gov,Federal,291
